"lang"
{
"Language"	"portuguese"
"DOTA_Workshop_Attachment_UpperStaff"	"Ponto de anexação de bastão do Earth Sp. - cima"
"DOTA_Workshop_Attachment_UppperStaff_Desc"	"Especifica onde no modelo do bastão a parte de cima do efeito de partículas deve ser fixada."
"DOTA_Workshop_Animation_Title"	"Animações"
"DOTA_Workshop_Animation_Desc"	"Animações são ficheiros .DMX ou .FBX, cada um contendo uma única animação para o teu modelo."
"DOTA_Workshop_Animation_UIBlock"	"Animações %s1"
"DOTA_Workshop_Preview_Anim"	"Animação:"
"DOTA_Workshop_Preview_Gesture"	"Sobreposição:"
"DOTA_Workshop_Preview_Skin"	"Textura:"
"DOTA_Workshop_Preview_Model"	"Modelo:"
"DOTA_Workshop_Preview_Attachment"	"Destacar anexo:"
"DOTA_Workshop_Preview_NoAttachment"	"Nenhum"
"DOTA_Workshop_Preview_ShowReference"	"Mostrar modelo de referência"
"DOTA_Workshop_Preview_ToggleLOD"	"Mostrar modelo de baixa resolução"
"DOTA_Workshop_Preview_TogglePedestal"	"Ativar pedestal"
"DOTA_Workshop_Preview_ToggleUI"	"Ativar interface"
"DOTA_Workshop_ImportError_Validation"	"Validação falhou"
"DOTA_Workshop_Error_TooManyBones"	"%1 contém %2 ossos, o máximo de ossos permitido é %3."
"DOTA_Workshop_ImportError"	"Erro de importação"
"DOTA_Workshop_Error_VMTCount"	"O modelo %s1 está a usar mais do que um material. Só é permitido um material para todos os LODs de um modelo.\nMateriais encontrados:\n\n%s2"
"DOTA_Workshop_Error_TextureNameA"	"Não foi possível reconhecer o nome de ficheiro .TGA escolhido. O nome das texturas tem de terminar com um dos seguintes sufixos: _color, _normal, _mask1, _mask2"
"DOTA_Workshop_Error_TextureNameB"	"Não foi possível encontrar um ficheiro .TGA correspondente com o seguinte sufixo:\n %s1"
"DOTA_Workshop_RequiredFileError"	"Ficheiro necessário não encontrado!"
"DOTA_Workshop_RequiredFile_Name"	"Não foi possível encontrar o ficheiro com o seguinte nome:\n %s1"
"DOTA_Workshop_ZipError"	"Erro de ficheiro!"
"DOTA_Workshop_ZipError_Desc"	"Não foi possível criar ficheiro temporário zip em: %s1"
"DOTA_Workshop_Error"	"Erro de importação"
"DOTA_Workshop_Error_Unskinned"	"%1: Não foi possível encontrar quaisquer ossos no item que correspondam aos ossos no modelo do herói. Os itens equipáveis têm de ser aplicados aos ossos do herói antes de serem enviados."
"DOTA_Workshop_Error_NoManifest"	"O ficheiro Zip não contém manifest.txt."
"DOTA_Workshop_Quicksave_Fail"	"Erro ao guardar"
"DOTA_Workshop_Quicksave_Fail_Desc"	"Erro ao guardar dados de importação em %s1"
"DOTA_Workshop_Quickload_Fail"	"Erro ao carregar"
"DOTA_Workshop_Quickload_Fail_Desc"	"Erro ao carregar: ficheiro não encontrado em %s1"
"DOTA_Workshop_NotInTest"	"Não é possível publicar em Dota 2 Test"
"DOTA_Workshop_NotInTest_Desc"	"Usa a versão de Dota 2 principal para interagires com o Steam Workshop."
"DOTA_Workshop_Import"	"Importar"
"DOTA_Workshop_Importing"	"A importar"
"DOTA_Workshop_Import_Success"	"IMPORTAÇÃO BEM-SUCEDIDA"
"DOTA_Workshop_Import_Failed"	"A IMPORTAÇÃO FALHOU"
"DOTA_Workshop_OutOfBudget"	"%1 excede o limite de triângulos:\n %2 contém %3 triângulos, quando o máx. permitido é %4."
"DOTA_Workshop_Mat0Title_Ward"	"Ficheiros de textura - Observer"
"DOTA_Workshop_Mat0Desc_Ward"	"Este é o ficheiro .TGA \"_color\" que texturiza os ficheiros de geometria como uma Observer Ward. Os ficheiros .TGA \"_normal\", \"_mask1\" e \"_mask2\" são opcionais para Wards. Se os encontrarmos no mesmo diretório, iremos usá-los."
"DOTA_Workshop_Mat1Title_Ward"	"Ficheiros de textura - Sentry"
"DOTA_Workshop_Mat1Desc_Ward"	"Este é o ficheiro .TGA \"_color\" que texturiza os ficheiros de geometria como uma Sentry Ward. Os ficheiros .TGA \"_normal\", \"_mask1\" e \"_mask2\" são opcionais para Wards. Se os encontrarmos no mesmo diretório, iremos usá-los."
"DOTA_Workshop_Animation_Spawn"	"Entrar em jogo"
"DOTA_Workshop_Animation_Idle"	"Parado"
"DOTA_Workshop_Animation_IdleAlt"	"Parado, Alternativo"
"DOTA_Workshop_Animation_IdleRare"	"Parado, Raro"
"DOTA_Workshop_Animation_Run"	"Correr"
"DOTA_Workshop_Animation_RunAlt"	"Correr, Alternativo"
"DOTA_Workshop_Animation_RunRare"	"Correr, Raro"
"DOTA_Workshop_Animation_RunHaste"	"Correr, Acelerado"
"DOTA_Workshop_Animation_RunInjured"	"Correr, Ferido"
"DOTA_Workshop_Animation_Die"	"Morrer"
"DOTA_Workshop_Animation_Die2"	"Morrer, Alternativo"
"DOTA_Workshop_Animation_Attack"	"Atacar"
"DOTA_Workshop_Animation_Attack_Desc"	"As animações de ataque personalizadas têm de condizer com o timing das animações padrão da unidade."
"DOTA_Workshop_Animation_AttackB"	"Ataque Alternativo"
"DOTA_Workshop_Animation_AttackB_Desc"	"Uma animação alternativa de um ataque que é usada aleatoriamente em vez da animação de ATACAR."
"DOTA_Workshop_Animation_Attack2"	"Ataque Secundário"
"DOTA_Workshop_Animation_Attack2_Desc"	"Uma animação alternativa de um ataque que é usada aleatoriamente em vez da animação de ATACAR. Efeitos de impacto/projéteis serão gerados a partir do PONTO ATACANTE SECUNDÁRIO em vez do PONTO ATACANTE base."
"DOTA_Workshop_Animation_Attack2B"	"Ataque Secundário, Alternativo"
"DOTA_Workshop_Animation_Attack2B_Desc"	"Uma animação alternativa de um ataque que é usada aleatoriamente em vez da animação de ATACAR. Efeitos de impacto/projéteis serão gerados a partir do PONTO ATACANTE SECUNDÁRIO em vez do PONTO ATACANTE base."
"DOTA_Workshop_Animation_Flail"	"Em pânico"
"DOTA_Workshop_Animation_Flail_Desc"	"Uma animação de ciclo completo usada quando a unidade está incapacitada e a ser movida (levada por um ciclone ou buraco negro, lançada pelo ar...)"
"DOTA_Workshop_Animation_Disabled"	"Incapacitado / Atordoado"
"DOTA_Workshop_Animation_TurnPoseCenter"	"Pose de Viragem, Centro"
"DOTA_Workshop_Animation_TurnPoseLeft"	"Pose de Viragem, Esquerda"
"DOTA_Workshop_Animation_TurnPoseRight"	"Pose de Viragem, Direita"
"DOTA_Workshop_Animation_TurnPoseCenter_Desc"	"Uma pose de uma única frame com a unidade virada para a frente. Podes simplesmente reutilizar a frame 0 da animação de correr. Se definida, precisarás de fornecer as poses de viragem Esquerda e Direita."
"DOTA_Workshop_Animation_TurnPoseLeft_Desc"	"Uma pose de uma única frame com a unidade virada para a esquerda. À medida que a unidade se vira para a esquerda, vamos combinar esta pose com a pose Centro. Se definida, precisarás de fornecer as poses de viragem Centro e Direita."
"DOTA_Workshop_Animation_TurnPoseRight_Desc"	"Uma pose de uma única frame com a unidade virada para a direita. À medida que a unidade se vira para a direita, vamos combinar esta pose com a pose Centro. Se definida, precisarás de fornecer as poses de viragem Centro e Esquerda."
"DOTA_Workshop_Animation_PortraitIdle"	"Retrato Parado"
"DOTA_Workshop_Animation_PortraitRare"	"Retrato Parado, Raro"
"DOTA_Workshop_Animation_BackLeftIdle"	"Parado (Trás, Esquerda)"
"DOTA_Workshop_Animation_LeftIdle"	"Parado, Esquerda"
"DOTA_Workshop_Animation_RightIdle"	"Parado, Direita"
"DOTA_Workshop_Animation_BackRightIdle"	"Parado (Trás, Direita)"
"DOTA_Workshop_Animation_BackLeftAttack"	"Atacar (Trás, Esquerda)"
"DOTA_Workshop_Animation_LeftAttack"	"Atacar, Esquerda"
"DOTA_Workshop_Animation_RightAttack"	"Atacar, Direita"
"DOTA_Workshop_Animation_BackRightAttack"	"Atacar (Trás, Direita)"
"DOTA_Workshop_Animation_Center_Desc"	"Esta será a animação central. Será combinada com as versões da esquerda e direita da mesma animação para que a unidade possa seguir a posição de outras unidades."
"DOTA_Workshop_Animation_BackLeft_Desc"	"Esta é uma animação completa que tem de ter o mesmo nº de frames do que a versão da pose centro. Contudo, a unidade tem de se virar 179 graus para a esquerda. Por ex.: a parte de baixo do modelo deve estar virada para a frente mas a parte de cima deve estar virada quase completamente para trás e do lado esquerdo."
"DOTA_Workshop_Animation_Left_Desc"	"Esta é uma animação completa que tem de ter o mesmo nº de frames do que a versão da pose centro. Contudo, a unidade tem de se virar 90 graus para a esquerda. Por ex.: a parte de baixo do modelo deve estar virada para a frente mas a parte de cima deve estar virada diretamente para a esquerda."
"DOTA_Workshop_Animation_Right_Desc"	"Esta é uma animação completa que tem de ter o mesmo nº de frames do que a versão da pose centro. Contudo, a unidade tem de se virar 90 graus para a direita. Por ex.: a parte de baixo do modelo deve estar virada para a frente mas a parte de cima deve estar virada diretamente para a direita."
"DOTA_Workshop_Animation_BackRight_Desc"	"Esta é uma animação completa que tem de ter o mesmo nº de frames do que a versão da pose centro. Contudo, a unidade tem de se virar 179 graus para a direita. Por ex.: a parte de baixo do modelo deve estar virada para a frente mas a parte de cima deve estar virada quase completamente para trás e do lado direito."
"DOTA_Workshop_LD_Trueform_Ability1"	"Invocar Spirit Bear"
"DOTA_Workshop_LD_Trueform_Ability1_Desc"	"Dura 40 frames, a invocação dá-se na frame 15."
"DOTA_Workshop_LD_Trueform_Ability2"	"Rabid"
"DOTA_Workshop_LD_Trueform_Ability2_Desc"	"Dura 30 frames, a invocação dá-se na frame 0."
"DOTA_Workshop_LD_Trueform_Ability4"	"Battle Cry"
"DOTA_Workshop_LD_Trueform_Ability4_Desc"	"Dura 40 frames, a invocação dá-se na frame 15."
"DOTA_Workshop_LD_Trueform_AbilityUlt"	"Forma de Druida"
"DOTA_Workshop_LD_Trueform_AbilityUlt_Desc"	"Voltar à forma normal de Druida. Dura 70 frames no total, deve desaparecer para baixo do chão na frame 58."
"DOTA_Workshop_Animation_Victory"	"Vitória"
"DOTA_Workshop_Animation_Defeat"	"Derrota"
"DOTA_Workshop_Animation_IdleOutOfRange"	"Parado (Longe)"
"DOTA_Workshop_Animation_IdleOutOfRange_Desc_SB"	"Este 'Parado' é usado quando o Lone Druid está demasiado longe do seu urso para poder atacar."
"DOTA_Workshop_Animation_RunOutOfRange"	"Correr (Longe)"
"DOTA_Workshop_Animation_RunOutOfRange_Desc_SB"	"Este 'Correr' é usado quando o Lone Druid está demasiado longe do seu urso para poder atacar."
"DOTA_Workshop_Animation_Die_Forward"	"Morrer, Frente"
"DOTA_Workshop_AmbientLight"	"Luz ambiente"
"DOTA_Workshop_BackgroundColor"	"Cor da imagem de fundo"
"DOTA_Workshop_BackgroundTexture"	"Textura da imagem de fundo"
"DOTA_Workshop_Camera"	"Câmara"
"DOTA_Workshop_CameraFOV"	"Campo de visão"
"DOTA_Workshop_EditAngles"	"Editar ângulos"
"DOTA_Workshop_EditAttachments"	"Editar pontos de fixação"
"DOTA_Workshop_EditGeneric"	"Pré-visualizar modelo"
"DOTA_Workshop_EditOrigin"	"Editar origem"
"DOTA_Workshop_EditPortrait"	"Editar retrato"
"DOTA_Workshop_GameDay"	"Dia"
"DOTA_Workshop_GameNight"	"Noite"
"DOTA_Workshop_ImportLog"	"Relatório de importações"
"DOTA_Workshop_Next"	"Seguinte"
"DOTA_Workshop_PickType"	"Escolher tipo"
"DOTA_Workshop_Portrait"	"Retrato"
"DOTA_Workshop_Prev"	"Anterior"
"DOTA_Workshop_Preview"	"Prévia"
"DOTA_Workshop_PreviewInGame"	"Prévia no jogo"
"DOTA_Workshop_SelectInputs"	"Selecionar entradas"
"DOTA_Workshop_SelectWearables"	"Selecionar equipáveis"
"DOTA_Workshop_ShadowColor"	"Cor da sombra"
"DOTA_Workshop_ShowLowResModel"	"Mostrar modelo de baixa resolução"
"DOTA_Workshop_ShowPedestal"	"Mostrar pedestal"
"DOTA_Workshop_ShowReferenceModel"	"Mostrar modelo de referência"
"DOTA_Workshop_SpotLight"	"Foco de luz"
"DOTA_Workshop_SpotlightDistance"	"Distância do foco de luz"
"DOTA_Workshop_SpotlightSize"	"Tamanho do foco de luz"
"DOTA_Workshop_Submit"	"Enviar"
"DOTA_Workshop_Texture"	"Textura"
"DOTA_Workshop_TurnTable"	"Plataforma giratória"
"DOTA_Workshop_WorkshopImportDialog"	"Janela de importação do Workshop"
"DOTA_Workshop_Err_MissingInput"	"Input necessário ausente: '%1'"
"DOTA_Workshop_Err_FileDoesNotExist"	"Ficheiro-fonte '%1' não existe"
"DOTA_Workshop_Err_FailedToCopy"	"Não foi possível copiar para '%1'"
"DOTA_Workshop_Err_FailedToWrite"	"Erro ao gravar em '%1'"
"DOTA_Workshop_Err_FailedToCompile"	"Erro ao compilar '%1'"
"DOTA_Workshop_Err_SerializeVMDL"	"Erro interno (Serialização de VMDL)"
"DOTA_Workshop_Err_ZipExists"	"Erro interno (Zip único já existe)"
"DOTA_Workshop_BrowseForZipCaption"	"Selecionar Zip"
"DOTA_Workshop_BrowseForZipFilter"	"Projetos do Workshop"
"DOTA_Workshop_BrowseForSessionCaption"	"Selecionar sessão do Workshop"
"DOTA_Workshop_BrowseForSessionFilter"	"Sessão do Workshop"
"DOTA_Workshop_LoadSession"	"Carregar sessão"
"DOTA_Workshop_SaveSession"	"Guardar sessão"
"DOTA_Workshop_LoadSessionError"	"Erro ao carregar sessão"
"DOTA_Workshop_SaveSessionError"	"Erro ao guardar sessão"
"DOTA_Workshop_Err_SessionSaveKV3"	"Erro interno (Gravação de KV3: %1)"
"DOTA_Workshop_Err_SessionSaveNoTemplate"	"Erro interno (Nenhum template)"
"DOTA_Workshop_Err_SessionLoadKV3"	"Erro interno: (Carregamento de KV3)\n%1\n%2"
"DOTA_Workshop_Err_SessionLoadBadData"	"Erro interno (Problema ao carregar dados: %1)"
"DOTA_Workshop_Err_SessionLoadBadTemplate"	"Nome de template desconhecido: '%1'"
"DOTA_Workshop_Err_Misc"	"Erro interno (%1)"
"DOTA_Workshop_Err_BadCfg"	"Erro interno ('%1' esperado em falta: %2)"
"DOTA_Workshop_Err_BadUI"	"Erro interno (Interface mal configurada, '%1' esperado: %2)"
"DOTA_Workshop_Err_BadSession"	"Erro interno (Sessão mal configurada, '%1' esperado: %2)"
"DOTA_Filter_Field_Category"	"Marcadores"
"DOTA_Armory_Tags_Popup_Title"	"Definir marcadores"
"DOTA_Armory_Attributes"	"Atributos"
"DOTA_Event_Level"	"Nível"
"DOTA_Skip"	"Avançar"
"DOTA_Done"	"OK"
"DOTA_TryAgain"	"Tentar de novo"
"DOTA_Treasure_OpenAnother"	"Abrir outro"
"DOTA_Treasure_OpenTreasure"	"Abrir tesouro"
"DOTA_Treasure_OpenNoDupe"	"Cada tesouro que abrires vai conter {d:items_per_treasure} dos itens normais mostrados. Não receberás repetidos até teres um de cada. Se tiveres sorte, também podes receber um dos itens raros."
"DOTA_Treasure_OpenDupe"	"Cada tesouro que abrires vai conter {d:items_per_treasure} dos itens normais mostrados. Poderás receber itens repetidos. Se tiveres sorte, também podes receber um dos itens raros."
"DOTA_Treasure_OpenFailed_NoItem"	"Não foi encontrado nenhum tesouro para abrir no teu inventário."
"DOTA_Treasure_OpenFailed_NoItemsReceived"	"Não foi possível obter a lista de itens obtidos do tesouro."
"DOTA_Treasure_OpenSuccess"	"Parabéns! Recebeste:"
"dota_settings_force_right_click_attack"	"Botão direito do rato: Forçar ataque"
"DOTA_Settings_Tooltip_Force_Right_Click_Attack"	"Clicar com o botão direito do rato numa unidade aliada fará com que o teu herói tente atacar essa unidade."
"DOTA_Effigy_AcceptCustomize"	"Aceitar equipamento"
"DOTA_Effigy_CancelCustomize"	"Cancelar"
"DOTA_Custom_Game_Created_By"	"Criado por <b>{g:dota_persona:author}</b>"
"DOTA_Custom_Game_Dedicated_Servers"	"Servidores dedicados"
"DOTA_Custom_Game_Dedicated_Servers_I"	"As partidas deste modo de jogo customizado serão jogadas nos servidores dedicados da Valve."
"dota_settings_rangefinder"	"Mostrar alcance das habilidades ao usá-las"
"DOTA_View_Details"	"Ver detalhes"
"DOTA_TabName_Featured"	"Destaques"
"DOTA_TabName_Heroes"	"Heróis"
"DOTA_Friends_ID"	"ID:"
"DOTA_Profile_Edit"	"Editar perfil"
"DOTA_Profile_LifetimeStats"	"Estatísticas"
"DOTA_Profile_ViewSteamProfile"	"Ver perfil Steam"
"DOTA_Profile_SendMessage"	"Enviar mensagem"
"DOTA_TrophyXPProgress"	"{d:trophy_xp} / {d:total_trophy_xp}<span class=\"TrophyPointTextSmall\">TP</span>"
"DOTA_TrophyDetails_XP"	"{d:trophy_details_xp}<span class=\"TrophyPointTitleSmall\">TP</span>"
"DOTA_TrophyDetails_PointsPerLevel"	"Este troféu dá {d:trophy_points_per_level} TP sempre que subir de nível."
"DOTA_Trophy_Upgraded"	"Troféu melhorado"
"DOTA_Trophy_Achieved"	"Troféu obtido"
"DOTA_TrophyPlusProfileXP"	"+{d:trophy_xp} TP"
"DOTA_ProfileBadge_Upgraded"	"Símbolo do perfil atualizado"
"DOTA_Lobby_Settings_Tournament_None"	"Nenhuma"
"DOTA_Lobby_Settings_Tournament"	"Liga"
"DOTA_WatchReplaysConextMenu_Watch"	"Assistir"
"DOTA_WatchReplaysConextMenu_DownloadWatch"	"Transferir e ver agora"
"DOTA_WatchReplaysConextMenu_DownloadWatchLater"	"Transferir e ver mais tarde"
"DOTA_WatchReplaysConextMenu_WatchLater"	"Ver mais tarde"
"DOTA_WatchReplaysConextMenu_WatchLaterClear"	"Remover desta lista"
"DOTA_WatchReplays_Game1"	"1ª partida"
"DOTA_WatchReplays_Game2"	"2ª partida"
"DOTA_WatchReplays_Game3"	"3ª partida"
"DOTA_WatchReplays_Game4"	"4ª partida"
"DOTA_WatchReplays_Game5"	"5ª partida"
"DOTA_WatchReplayError"	"Erro ao ver repetição"
"DOTA_WatchReplayError_Incompatible"	"Esta repetição não é compatível com esta versão do Dota."
"DOTA_WatchReplayError_DoesNotExist"	"Esta partida não existe."
"DOTA_WatchTournaments_PrizePoolLabel"	"- Prémio Total"
"DOTA_WatchTournaments_PrizePoolTicketPrice"	"Bilhete {g:dota_item_price:ticket_itemdef}"
"DOTA_WatchTournaments_PrizePoolActivate"	"Ativar bilhete"
"DOTA_WatchTournaments_LiveGames"	"- PARTIDAS EM DIRETO A DECORRER"
"DOTA_WatchTournaments_View"	"Ver"
"DOTA_WatchTournaments_Region_NA"	"América do Norte"
"DOTA_WatchTournaments_Region_SA"	"América do Sul"
"DOTA_WatchTournaments_Region_EU"	"Europa"
"DOTA_WatchTournaments_Region_RU"	"Rússia"
"DOTA_WatchTournaments_Region_CN"	"China"
"DOTA_WatchTournaments_Region_SEA"	"Sudeste Asiático"
"DOTA_WatchTournament_BestOf3"	"Melhor de 3"
"DOTA_WatchTournament_BestOf5"	"Melhor de 5"
"DOTA_WatchTournament_Website"	"Ver site do torneio"
"DOTA_WatchTournament_Compendium"	"Compêndio"
"DOTA_WatchTournament_Page"	"Pág. {i:page_cur} / {i:page_max}"
"DOTA_WatchTournament_Spectators"	"{i:spectators} a ver"
"DOTA_ShuffledItem_Label"	"No Aleatório"
"DOTA_EquippedItem_Button_SingleItemShuffle"	"Equipar"
"DOTA_Feed_Title"	"Atividade de amigos"
"DOTA_Armory_Category_EffigyBlocks"	"Blocos de Efígie"
"DOTA_Armory_Category_EffigyReforgers"	"Reconstrutores de Efígies"
"DOTA_Armory_Category_Leagues"	"Itens de Ligas"
"DOTA_Armory_Category_Charms"	"Amuletos"
"DOTA_Armory_Category_CharmFragments"	"Fragmentos"
"DOTA_Armory_Category_MegaKills"	"Mega Assassínios"
"DOTA_Armory_Category_Treasures"	"Tesouros"
"DOTA_Armory_Category_Gifts"	"Presentes"
"DOTA_Armory_Category_Bundles"	"Pacotes"
"DOTA_Armory_Category_Tools"	"Ferramentas"
"DOTA_Armory_ActiveFilterLabel"	"Filtro:"
"DOTA_Armory_EditFilter"	"Editar filtro"
"DOTA_Armory_ContextMenu_AddShuffle"	"Adicionar ao Aleatório"
"DOTA_Armory_ContextMenu_RemoveShuffle"	"Remover do Aleatório"
"DOTA_Armory_Filter_Tradeable"	"TROCÁVEL"
"DOTA_Armory_Filter_Equipped"	"EQUIPADO"
"DOTA_Armory_Filter_Duplicate"	"REPETIDO"
"DOTA_Armory_Filter_HasSockets"	"TEM RANHURAS"
"DOTA_Armory_Filter_IsJunk"	"É LIXO"
"DOTA_Armory_Filter_WillExpire"	"VAI CADUCAR"
"DOTA_Armory_Filter_IsBundle"	"PACOTE"
"DOTA_Armory_Filter_IsGift"	"FOI PRESENTE"
"DOTA_Armory_Filter_Rarity"	"RARIDADE"
"DOTA_Armory_Filter_Quality"	"QUALIDADE"
"DOTA_Armory_Filter_Tags"	"MARCADORES"
"DOTA_Armory_Filter_Delete"	"Eliminar filtro"
"DOTA_Armory_Filter_CreateNew"	"Novo filtro..."
"DOTA_Armory_Filter_FilterName"	"Nome do filtro"
"DOTA_Armory_Filter_Required"	"OBRIGATÓRIO"
"DOTA_tooltip_econ_item_tags"	"Marcadores"
"Compendium_LeagueID"	"ID da Liga"
"Compendium_InvalidLeagueID"	"ID da Liga inválido ou nenhum especificado."
